payload_id,name,type,reused,manufacturers,mass_kg,mass_lb,orbit,reference_system,regime,launch_id
5eb0e4b5b6c3bb0006eeb1e1,FalconSAT-2,Satellite,False,"[""SSTL""]",20.0,43.0,LEO,geocentric,low-earth,5eb87cd9ffd86e000604b32a
5eb0e4b6b6c3bb0006eeb1e2,DemoSAT,Satellite,False,"[""SpaceX""]",Null,Null,LEO,geocentric,low-earth,5eb87cdaffd86e000604b32b
5eb0e4b6b6c3bb0006eeb1e3,Trailblazer,Satellite,False,"[""Space Dev""]",Null,Null,LEO,geocentric,low-earth,5eb87cdbffd86e000604b32c
5eb0e4b6b6c3bb0006eeb1e4,PRESat,Satellite,False,[],Null,Null,LEO,geocentric,low-earth,5eb87cdbffd86e000604b32c
5eb0e4b7b6c3bb0006eeb1e5,RatSat,Satellite,False,"[""SpaceX""]",165.0,363.0,LEO,geocentric,low-earth,5eb87cdbffd86e000604b32d
5eb0e4b7b6c3bb0006eeb1e6,RazakSAT,Satellite,False,"[""Satrec""]",200.0,440.0,LEO,geocentric,low-earth,5eb87cdcffd86e000604b32e
5eb0e4b7b6c3bb0006eeb1e7,Dragon Qualification Unit,Dragon Boilerplate,False,"[""SpaceX""]",Null,Null,LEO,geocentric,low-earth,5eb87cddffd86e000604b32f
5eb0e4b9b6c3bb0006eeb1e8,COTS Demo Flight 1,Dragon 1.0,False,"[""SpaceX""]",Null,Null,LEO,geocentric,low-earth,5eb87cdeffd86e000604b330
5eb0e4b9b6c3bb0006eeb1e9,Cubesats,Satellite,False,[],Null,Null,LEO,geocentric,low-earth,5eb87cdeffd86e000604b330
5eb0e4bab6c3bb0006eeb1ea,COTS Demo Flight 2,Dragon 1.0,False,"[""SpaceX""]",525.0,1157.0,LEO,geocentric,low-earth,5eb87cdfffd86e000604b331
5eb0e4bab6c3bb0006eeb1eb,CRS-1,Dragon 1.0,False,"[""SpaceX""]",400.0,881.0,ISS,geocentric,low-earth,5eb87ce0ffd86e000604b332
5eb0e4bab6c3bb0006eeb1ec,Orbcomm-OG2,Dragon 1.0,False,[],400.0,881.0,LEO,geocentric,low-earth,5eb87ce0ffd86e000604b332
5eb0e4bbb6c3bb0006eeb1ed,CRS-2,Dragon 1.0,False,"[""SpaceX""]",677.0,1492.0,ISS,geocentric,low-earth,5eb87ce1ffd86e000604b333
5eb0e4bbb6c3bb0006eeb1ee,CASSIOPE,Satellite,False,"[""MDA""]",500.0,1100.0,PO,geocentric,low-earth,5eb87ce1ffd86e000604b334
